address,ALD,NSP,POLICE,TRACT,WARD,ZIP,Arson,Assault,Burglary,CriminalDamage,Homicide,Robbery,SexOffense,Theft,VehicleTheft
1017 S 37TH ST,8.0,15.0,2.0,16000.0,211.0,53215.0,0,1,0,0,0,0,0,0,0
3742 W WALNUT ST,15.0,11.0,3.0,9600.0,165.0,53208.0,0,1,0,0,0,0,0,0,0
4129 W FAIRMOUNT AV,1.0,2.0,7.0,2500.0,48.0,53209.0,0,1,0,0,0,0,0,0,0
1532 W BECHER ST,12.0,16.0,2.0,16800.0,225.0,53204.0,0,0,0,0,0,0,0,0,1
3800 W CANAL ST,10.0,,3.0,186800.0,338.0,53215.0,0,0,0,0,0,0,0,1,0
2809 N FRATNEY ST,6.0,7.0,5.0,8000.0,331.0,53212.0,0,0,0,0,0,0,0,1,0
5009 S 13TH ST,13.0,,6.0,21600.0,297.0,53221.0,0,0,0,0,0,0,0,0,1
4725 N 39TH ST,7.0,1.0,7.0,2600.0,61.0,53209.0,0,0,0,0,0,0,0,1,0
7470 W GLENBROOK RD,9.0,,4.0,101.0,4.0,53223.0,0,1,0,0,0,0,0,0,0
3800 W CANAL ST,10.0,,3.0,186800.0,338.0,53215.0,0,0,0,0,0,0,0,1,0
7934 N EDGEWORTH DR,9.0,,4.0,700.0,15.0,53223.0,0,0,0,1,0,0,0,0,0
2100 W PIERCE ST,8.0,,2.0,186800.0,222.0,53204.0,0,1,0,0,0,0,0,0,0
